lyrics_latent_1,lyrics_latent_2,lyrics_latent_3,lyrics_latent_4,lyrics_latent_5,lyrics_latent_6,lyrics_latent_7,lyrics_latent_8,lyrics_latent_9,lyrics_latent_10,lyrics_latent_11,lyrics_latent_12,lyrics_latent_13,lyrics_latent_14,lyrics_latent_15,lyrics_latent_16,label
-0.02566862,-1.3020786,0.5065201,-0.027711792,-2.119116,-0.3051907,0.102292895,-0.051330592,-0.04552548,0.13785467,-2.2596016,-0.03369607,0.00045685098,-1.3008869,-0.0047160992,0.15701947,blues
0.066581294,0.1231598,-2.5833158,0.042446487,0.34661567,1.3389302,-0.0063051134,0.06132876,0.07807794,0.73774374,-0.28080088,-0.075367905,-0.035634138,-3.1917617,-0.02408532,-0.5122682,blues
-0.008003293,0.31029266,-0.24765702,-0.019516982,0.8972675,2.985732,0.0843945,0.04383699,0.049860682,1.3202454,0.26637343,-0.038549338,-0.048240356,-0.9375766,-0.04781264,0.2266719,blues
0.014680746,1.7019302,-1.160877,0.029682977,1.1652814,1.0513613,0.13557383,0.0050637294,0.010294225,0.4628881,0.31494167,-0.056786276,0.008866752,-0.18838647,-0.012150163,-0.43557698,blues
0.006192893,-1.0692374,-0.28997937,-0.027054425,-0.77553385,-0.25971287,0.08077596,0.054271646,-0.055062126,0.49188784,1.227327,0.014251207,-0.081479244,1.0134459,0.032040983,0.05058834,blues
0.021481486,-0.17563577,-0.14352435,-0.050689433,0.11930535,1.5693479,-0.018238813,0.022936402,-0.017873608,-0.42348278,0.13361621,-0.020083021,-0.025894232,-0.103865586,-0.03341549,0.7343023,blues
-0.0506649,0.5684933,0.5533128,0.024368213,-1.1981469,-0.3883528,0.093744054,0.06341725,-0.009941772,-1.3438503,0.3133568,0.019276265,0.007186655,-0.5393159,0.019203344,-0.28938848,blues
0.06704113,1.0314375,-1.1339523,-0.0019737352,-0.0013066381,0.39425045,-0.07766569,0.017387083,0.031834353,0.27983227,-0.06300187,-0.04771919,0.02810732,-0.23457271,-0.05834522,0.96897185,blues
0.037684307,0.3847618,-0.90152586,-0.022568932,0.4567812,-0.21359715,-0.1049155,-0.034681857,0.015642058,1.1664015,-0.4822454,-0.0055142827,0.0162787,0.32189745,-0.053420924,0.59209,blues
-0.021247791,0.2179156,1.5380304,-7.15591e-05,-0.8581058,-0.09279959,-0.024090178,0.01098196,-0.008028872,-0.6297023,-0.25610584,0.051546294,-0.012056399,0.7350713,0.0134403985,-0.923344,blues
-0.005928343,-1.5102392,-1.2673476,-0.012056427,-1.0503592,0.6593717,-0.16073984,-0.02277723,-0.047020245,-1.909006,-0.24111113,-0.036282737,-0.056727678,-1.8653265,0.07762512,0.13425383,blues
0.022724394,-0.40548408,1.1728176,0.0060299654,0.3641864,0.16583914,-0.113845974,0.041691914,-0.014858168,-2.4604769,2.7688901,0.10341441,0.0006402321,-1.0669973,0.096792445,-0.16404709,blues
-0.0012858063,0.82924545,-0.014808431,0.022803733,0.52809334,0.6624676,0.09166751,0.02337777,-0.038479306,2.6995668,0.80839795,0.07582449,-0.11795931,2.0432775,0.04805935,0.5769484,blues
0.008171136,-0.4583797,-0.21140806,-0.018956697,-0.61249155,0.15464622,-0.025728993,-0.00072328374,-0.021738112,0.025432438,-0.9618754,-0.012328855,-0.007940859,-0.421771,-0.015742494,0.8655908,blues
-0.02223332,0.32083017,-0.23116738,-0.018017303,0.27032876,0.013462782,0.06702082,0.039079726,-0.033441138,-0.40885958,0.38521704,-0.0040829005,-0.0023944378,0.09499573,0.004505016,-0.12719065,blues
-0.010078395,-0.12818281,0.81030434,-0.022727406,0.09753473,-0.93100864,-0.09122622,-0.026968956,-0.024085766,0.3573911,-0.36752748,0.018805264,-0.028728925,0.09774138,0.013078952,-1.0672958,blues
0.011582681,-0.3644626,0.3962111,-0.012834195,-0.6683812,0.19696662,-0.06306,0.015239073,0.054633845,0.48147473,0.10000981,-0.023155332,-0.05075737,-2.1481268,0.0022998117,-1.1426482,blues
-0.009160154,-0.35519785,1.1833584,-0.051481985,-0.18605748,1.7367011,0.07732171,0.003671743,-0.0494546,0.9660064,-1.0874753,0.047133736,-0.0613785,0.8303049,-0.050803892,0.6971551,blues
0.019870436,0.4319771,-0.5267557,-0.022838172,-0.25990537,-0.9210248,-0.07886961,0.07351404,0.005111072,0.5948304,1.460625,-0.012695443,-0.070039205,-0.12035107,0.019353038,-1.7953457,blues
-0.0082420185,0.32216388,1.0524902,0.00094269775,-0.14672059,-0.23140723,-0.046041504,0.020024633,-0.02314634,0.037062705,0.32262895,0.03123178,-0.04070241,0.69805336,-0.0051661953,0.014420748,blues
-0.022110974,-0.8168023,0.8124171,-0.020500861,0.5021918,0.125391,0.045342557,-0.0020640772,-0.054791257,0.22251296,0.58466345,0.048890673,-0.033245094,0.1868929,0.017231388,1.0857618,blues
-0.005017426,-0.9242504,-0.057546064,-0.045490686,-1.6820669,0.8900769,0.045456886,0.018810527,-0.05923987,1.1282748,-2.6338995,-0.007359526,-0.078021914,0.5789122,-0.014349192,0.42904767,blues
-0.04014495,0.66358346,0.4726141,0.037215903,0.5715909,0.67402524,-0.038924783,0.0033606123,-0.009481486,-0.5840808,-2.1027794,-0.014220612,0.0020250827,0.79237217,-0.044227935,-0.18456604,blues
-0.07216001,-0.5622107,1.6068985,-0.0012665484,1.2329732,0.7518407,0.0040535107,-0.043163884,-0.014463622,-1.1000614,-0.29254994,0.039206084,0.035416096,-0.16730112,0.031814635,-0.683668,blues
-0.051031493,-0.8654242,-0.81580985,-0.017175756,-0.19912332,-1.3359377,0.13702673,-0.041066963,-0.07183557,1.71875,-0.36234397,0.061968267,0.0021555088,0.82124114,-0.008593116,0.4408137,blues
0.03412286,0.41165036,-0.20752518,-0.00876905,0.37571716,2.2319374,-0.05538559,0.052242525,0.05644619,-0.5084515,1.1426586,0.004960359,-0.00816505,-1.8142841,0.00073639303,-0.8291836,blues
0.011585693,-0.7783869,-1.3286881,-0.047889873,2.7874055,0.84857917,-0.19324648,0.01452093,0.07580091,0.11990902,0.33227336,-0.013431588,0.07428715,-1.354725,0.074450694,-2.3366756,blues
-0.007946659,-2.921488,0.17735074,-0.09903626,-1.5539932,1.0921862,0.20672318,0.06333824,-0.08303715,1.9340025,1.9586269,0.08611853,-0.14616683,1.8783593,0.058730803,0.17179844,blues
-0.020413624,0.2680943,2.6221569,0.013428336,-1.1367794,-0.12916291,-0.006990716,-0.015009249,-0.016106103,-0.44311535,-0.6167146,0.09341336,0.017757183,0.39220992,0.032510668,-0.6442776,blues
0.003995534,-0.215389,1.1096337,-0.052186206,0.5622695,1.174465,-0.0062599406,-0.035449803,-0.03829526,0.925967,-0.32852075,0.05739589,-0.027005434,0.20120901,-0.05503194,1.3775243,blues
-0.008443352,1.02863,-0.6313014,-0.0055813193,0.5051839,1.5758522,0.1316099,0.025595142,-0.0060682483,0.15350524,0.7609498,-0.008577165,-0.043016553,1.2207694,0.024028948,-0.27015248,blues
-0.026467403,0.2620858,-0.7946308,0.0024680886,-1.5180389,-0.46907234,0.13523357,0.027600652,-0.01397164,0.09747034,0.07403465,-0.007073993,-0.030588008,0.24429736,0.0023009032,-0.59565073,blues
-0.0026623402,0.15008146,0.22739874,0.05186674,1.8967203,-0.4040651,-0.025208674,0.096289426,-0.043745957,0.6330099,2.2482805,0.055364706,-0.033052683,0.84531313,0.05829887,0.16716549,blues
-0.025932794,-0.10074815,0.06264202,0.0016065445,0.6352528,0.16113225,0.044226743,0.01676515,-0.03983144,0.71514785,0.57653075,0.019577434,-0.07072232,0.8771532,0.009382149,0.06134236,blues
0.0065633273,-0.1766828,0.5290826,0.022823209,0.7365598,-0.30443802,-0.12484038,-0.0014212094,-0.014993012,-0.22679488,-0.5834941,0.0022664205,0.0033555664,0.24022979,-0.009987424,1.8990893,blues
0.012896519,0.17434868,-0.893835,-0.025018591,-1.0302409,0.08068636,0.025736116,0.052344233,-0.007067159,1.26316,0.51977,-0.0324496,-0.07647439,-0.435022,0.0050283186,-0.22020063,blues
-0.028069125,0.4675824,-0.3028913,-0.0029925797,0.52341783,0.056892574,0.011261597,0.035203777,-0.018526042,-1.3990264,0.27539343,0.022150699,0.026537023,0.2939114,-0.008509412,-1.1583796,blues
0.006995853,-0.27287567,0.30709875,-0.0069079474,1.4882125,0.24264544,-0.16577291,0.017551353,0.022304777,1.6102592,0.8201149,0.0102870045,-0.029604085,-0.83613664,0.049667507,-0.5195073,blues
-0.011791265,0.21965249,0.89526707,-0.023601696,-0.33489197,0.59043795,0.037856583,0.03362877,-0.009723522,-0.11739324,0.9347929,0.026930308,-0.042808212,-0.018519856,0.030193048,-0.33715084,blues
-0.016708663,-0.6430871,-0.426343,-0.04843506,-0.21862638,0.3982678,-0.04171066,0.040926717,-0.010426987,-0.069984674,0.34738928,-0.017106589,-0.059008278,-0.2464382,0.031679273,-0.86095953,blues
-0.008618306,-0.06109453,0.40910625,-0.027541757,0.37001073,0.31749874,-0.023802198,-0.0067519117,-0.030916791,0.5158988,-0.34150857,0.022252265,-0.036681198,0.07110031,-0.03552691,0.103058964,blues
0.05719571,0.9303136,-0.9093038,-0.024200216,-0.037124038,2.0263495,0.034642983,0.017809046,0.026639994,0.6908015,0.15560853,-0.058561854,-0.027025685,-0.62650615,-0.042951256,0.5242399,blues
-0.034642413,-2.5116158,1.1912634,-0.048149623,-0.76434445,-0.9511825,0.11075062,-0.07586287,-0.07840264,-1.3409511,-0.7357217,0.03294349,0.011079827,-0.4388485,0.06817992,0.7365116,blues
-0.10698995,-2.0841334,-1.0224628,0.011813918,1.522461,-2.5010953,0.34539533,-0.06898481,-0.05579696,-0.6643053,0.079443686,0.0644983,0.10486919,-0.09727185,0.12199636,-0.5514607,blues
-0.024470342,-1.065002,1.5483938,-0.05803223,0.58143467,0.37617517,-0.107538864,-0.054642063,-0.006552797,0.50565636,-0.350225,0.018275144,-0.07387279,0.5697495,0.038476773,-2.2264676,blues
0.01729005,0.2779619,-1.0704305,0.061048843,0.2738443,0.13920593,0.126674,0.14954422,-0.055174973,-1.000667,2.026093,-0.027088188,-0.04226791,0.48303533,0.061348446,1.1013427,blues
0.0846151,-0.045758247,-1.0027871,0.019476311,-0.15278345,-0.37684128,-0.09662706,0.09597096,-0.015280388,-0.62326956,1.2334732,-0.051932737,-0.053130284,0.12239164,0.051395617,1.8683598,blues
-0.012966057,-0.485673,-0.40095845,-0.030859439,-0.020740137,1.770521,0.033830248,0.00949618,0.01271211,2.024751,-0.61716807,-0.047997367,-0.12783763,0.66306585,-0.0011674222,-1.218928,blues
-0.03846246,0.1833567,-0.91547257,-0.013185928,-2.5279932,-0.660371,0.19911489,0.015838763,-0.010753233,1.2196864,0.15481076,0.004607096,-0.07257512,0.016108103,0.009797972,-1.094918,blues
0.031899128,-2.2602022,-0.086436786,-0.09264831,-2.0747893,0.4405042,-0.2566691,-0.03277898,-0.04195,-1.4683896,0.8613629,-0.015155083,-0.098243244,0.5101997,0.03677679,-1.4667444,blues
0.019472517,-0.23576848,0.12083714,-0.01877506,-0.361628,-0.18428516,-0.030494422,0.027954834,-0.02811784,-0.21579714,0.13061485,-0.007619639,-0.027313687,0.51287407,-0.015839666,0.46704176,blues
0.02609552,0.4368167,0.32847434,-0.01356874,-0.8640188,-0.5880188,-0.0067695603,0.04356546,-0.01465689,0.013718456,-0.12201442,0.021721601,0.011171473,0.46862897,-0.021772806,0.5445279,blues
0.0022355877,-0.42890882,-1.3338048,0.008784128,0.38601404,0.97095597,-0.043866724,0.012212118,-0.0048941635,-1.2004875,0.22784999,-0.029741798,-0.002567403,-0.5913294,0.0060923565,-0.17633918,blues
0.059914365,2.3448846,-1.0161483,0.027268896,0.42725158,0.2686028,0.025766447,0.004980417,0.035366606,0.46273485,0.043165013,-0.06367469,0.046993643,-0.3203062,-0.021013806,0.22427508,blues
-0.020529201,1.7529725,1.2989664,0.029205842,-1.2799052,0.28623724,0.14536294,0.0098263305,0.04377107,0.1865522,-0.37625247,0.07313851,0.0536757,-0.9365861,0.01043047,-0.7955673,blues
-0.03328103,-0.99161196,-0.5401081,-0.0054984204,-0.6191499,-0.7348178,0.1480509,0.004785033,-0.07057483,1.3398751,0.07936562,0.027058896,-0.027571969,1.3507084,-0.009528696,-0.2909742,blues
-0.021581026,-0.6413016,-0.72990227,-0.04894746,0.73295337,0.57556033,-0.14760575,0.049711816,0.036592748,-0.21110892,0.7169832,0.0011009445,-0.049139157,-0.714366,0.063968845,-2.4907146,blues
