latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,vae_cluster,language,genre,filename
4.151463053488958,2.8054910187984414,2.5766804207762837,2.800298746389191,1.533671682210918,3.121535009435268,0.22146393693600183,1.9637784159958833,1.7583560999429435,3.613809761506641,2.250418243605603,4.365732512162859,1.3472360664948604,4.249513066339193,2.1811805689811425,3.0752833916405065,1,Bangla,Indie,859.wav
3.910024022832365,4.503376123306963,2.8449085712604134,0.8894786208958553,0.40187073980631166,1.9645513519909763,0.8332522772632474,4.565990346646808,2.7914358664561556,1.571518647708918,3.0797521727862933,1.9174973624841145,2.008788075189585,3.276882865535972,4.064240860351333,1.2355945821271719,1,English,blues,blues.00054.3.wav
5.224788883637371,7.501055196042413,4.363407639733806,1.6368904046596804,1.8219832813992443,2.2395121639109874,0.6274400140282986,2.8313037811747344,3.7843617822161666,2.8654281251197764,2.3064072711109556,3.200558732709529,2.598190198961266,2.6739991810013537,1.8420786746436923,2.636920757911675,1,Bangla,Metal,1370.wav
8.172279309915657,4.625747508304781,6.192712556417246,1.4070789421968537,3.836998721189261,3.23900291743346,1.9383047565912201,7.080290340805174,4.549250203001785,4.882437575331733,4.31243391908839,9.847707871952347,2.584279016433938,4.705778780791068,2.9593873436850897,5.9349126649278094,1,English,jazz,jazz.00003.0.wav
4.562419973996506,2.4337474360665245,3.811876111226087,1.0352752768228872,4.313652862090969,3.9895182735136556,1.2148474499247777,3.2888418510760284,3.128833766768947,4.38109916171192,2.566475479937813,2.4847327439498725,4.045300133827016,2.544422547345186,3.7685565826262724,3.7021092715923563,1,Bangla,Rock,450.wav
3.5067473080008402,3.272377706530945,9.116052042822098,1.90451246706701,6.90440342383087,6.673454938366064,5.588283310190012e-05,3.8762993376386112,2.0989763970829602,6.407869890748886,3.43158972923001,3.005467449975033,3.2073590405404895,5.56785969503593,3.9251477076451993,5.526763913129243,0,Bangla,Hiphop,1538.wav
5.5265850536412975,3.2378694826347627,4.624167439284137,1.655141797771756,4.333742757764712,2.5914188541818,0.0,2.8682077661338217,3.450231454354266,2.638376845425548,2.303956406114385,4.715764003870553,2.4753098219442293,2.618174666788597,1.523289129159289,4.387844863237808,1,English,country,country.00017.7.wav
5.685656297340455,7.4714616004078644,2.26597220389233,3.3195616998877613,5.598839400851037,7.428331460006225,2.1097657187771497,4.2485221330293115,4.072281700022374,7.615607324149819,2.2748783199617404,6.418659048567133,2.1145246819039163,4.147519032987661,2.009125200278067,3.7882565244938586,1,Bangla,Indie,2003.wav
3.7326826366421106,6.885419391517111,4.731540221422203,0.339137861224881,1.821483313368131,3.3685723463043584,0.7424648788283477,5.831730711156615,4.207940452444779,2.2379434424394313,2.6727647022496983,1.6164388187452001,1.4301834954763188,1.2546261704394925,4.166054537735513,2.291165270667753,1,English,metal,metal.00052.2.wav
5.818747378328001,5.812994961595048,3.208057076323396,3.3525468605267266,4.448827681350322,4.653150373990608,1.6673591999711304,3.4586370201941974,1.0357371630071306,5.732760695529179,0.4162702451427207,5.367911079878339,4.063543331506188,4.748922234252211,4.45513187416445,2.1610041294862867,1,Bangla,Metal,1461.wav
2.961133522721448,1.6173405131547487,2.579132994498519,0.6243552328817583,0.6773265304296787,1.610809495676289,0.31514318609774516,4.625014575012418,1.609709403243673,3.422945362284217,0.6589485965088229,1.8418183806102162,4.1544990564311925,2.70236484430496,3.4564055494406087,0.7526489508830652,1,English,metal,metal.00088.3.wav
